CHM000450041992,34.7,10.5,24.3,11.9,
CHM000450041993,32.9,5.1,22.8,5.6,
CHM000450041994,34.3,7,23.2,7.1,
CHM000450041995,34.1,-3.1,22.5,7.3,
CHM000450041996,34.4,5.3,22.8,6.1,
CHM000450041997,33.4,9.3,22.8,8.8,
CHM000450041998,34.2,8,23.4,7.4,
CHM000450041999,34.7,8.4,23.2,4,
CHM000450042000,27.7,-0.1,16.8,1.9,
CHM000450051946,33.9,9.4,22.6,5.4,
CHM000450051947,35,5.6,22,8,
CHM000450051948,33.3,3.9,22.7,8.5,
CHM000450051949,35.6,6.1,22.7,7.4,
CHM000450051950,33.9,6.1,22.4,6.9,
CHM000450051951,33.9,5,22.1,8.1,
CHM000450051952,33.3,4.4,22.7,8.1,
CHM000450051953,36.1,8.3,22.4,7.6,
CHM000450051954,35.6,6.1,22.6,5.2,
CHM000450051955,33.3,4.4,22.6,7.8,
CHM000450051956,35,3.9,22.4,5.5,
CHM000450051957,33.9,3.9,22.4,,
CHM000450051958,35,-25.6,23.6,,
CHM000503531954,34.6,-42.2,-1.9,0.8,
CHM000503531955,36.2,-45.2,-2,1.4,
CHM000503531956,30.5,-48.2,-3.2,1.6,
CHM000503531957,30.6,-40,-2,1.2,
CHM000503531958,31.7,-41.2,-2,1.5,
CHM000503531959,32.1,-43.9,-1.2,2.2,
CHM000503531960,33.7,-43.8,-3.2,1,
CHM000503531961,34.7,-46,-2.2,1.4,
CHM000503531962,34.8,-44,-1.5,1.3,
CHM000503531963,34.6,-39.3,-0.8,1.2,
CHM000503531964,33.3,-42.8,-2.5,0.9,
CHM000503531965,34.4,-45.1,-3.3,1.3,
CHM000503531966,32.2,-43.8,-3.1,1.5,
CHM000503531967,33.5,-41.2,-1.1,1.3,
CHM000503531968,38,-46.3,-0.5,0.9,
CHM000503531969,36.1,-44.7,-4,1.3,
CHM000503531970,37.4,-45.5,-1.9,1.3,
CHM000503531971,35.2,-41.5,-1.1,1,
CHM000503531972,33.4,-42.5,-2.8,1.6,
CHM000503531973,35.9,-41,-1.7,1.1,
CHM000503531974,32.6,-42.1,-2.7,1.2,
CHM000503531975,34.6,-39.9,3.7,1.3,
CHM000504341957,27.2,-45.7,-5.6,1.3,
CHM000504341958,28.9,-45,-4.6,1.3,
CHM000504341959,28.4,-45.7,-4.9,1.3,
CHM000504341960,29.4,-48.9,-6.1,1.2,
CHM000504341961,32.8,-48.8,-4.9,1.3,
CHM000504341962,29.1,-42.7,-4.7,1.2,
CHM000504341963,31.6,-45.3,-4.2,1.2,
CHM000504341964,31.6,-43.5,-5.3,1,
CHM000504341965,30.4,-46.5,-6.5,1.1,
CHM000504341966,33.1,-50.2,-6.7,1.2,
CHM000504341967,30.3,-43.7,-4.6,1.4,
CHM000504341968,31.5,-45.2,-4.5,1.1,
CHM000504341969,34.7,-48.4,-6.9,1.4,
CHM000504341970,33.6,-46.4,-5.4,1.3,
CHM000504341971,29.4,-46.8,-4.6,1.1,
CHM000504341972,30.7,-42.1,-5.5,1.4,
CHM000504341973,30.6,-43.2,-4.8,0.9,
CHM000504341974,31.4,-44.7,-5.4,1.1,
CHM000504341975,33.2,-43.5,-3.8,1.2,
CHM000504341976,32.1,-45.7,-5.5,1.3,
CHM000504341977,32.8,-44.1,-5.1,1.2,
CHM000504341978,29.4,-44.6,-5.1,1.4,
CHM000504341979,31.4,-47.5,-4.9,1,
CHM000504341980,35.1,-46.1,-5.3,1.3,
CHM000504341981,31.9,-43.4,-5.2,1,
CHM000504341982,31.1,-42.8,-4.1,1.5,64
CHM000504341983,28.1,-44.8,-4.1,1.5,
CHM000504341984,27.6,-45.2,-5.2,1.7,
CHM000504341985,29.1,-46.7,-4.8,1.4,
CHM000504341986,30.3,-43.5,-4.3,0.9,
CHM000504341987,30.5,-47.1,-5.6,1,
CHM000504341988,31.6,-41.1,-3.9,1.8,
CHM000504341989,32.3,-41.1,-3.4,1.2,
CHM000504341990,31.9,-47.6,-2.7,1.5,
CHM000504341991,33,-43.3,-4.4,1.4,
CHM000504341992,32.6,-40.4,-3.8,1,
CHM000504341993,29.2,-41,-3.5,1.5,
CHM000504341994,33.3,-44.5,-3.5,1.1,
CHM000504341995,30.6,-39.8,-3.1,1.1,
CHM000504341996,29.9,-46.5,-4.6,1.6,
CHM000504341997,33.9,-45.3,-3.9,1.4,
CHM000504341998,29.8,-45.6,-3.3,1.2,
CHM000504341999,32.1,-43.3,-4.3,1.2,
CHM000504342000,31.9,-45.1,-4.5,0.9,
CHM000504342001,34.2,-49.6,-4.6,1,
CHM000504342002,33.7,-43,-3.4,0.8,
CHM000504342003,30.6,-45.6,-4.1,1.2,
CHM000504342004,35.9,-45.6,-3.8,0.9,
CHM000504342005,33.5,-41.2,-4,1.1,
CHM000504342006,30.8,-46.3,-4.5,1.1,
CHM000504342007,33.9,-41.1,-2.9,0.8,
CHM000504342008,33.1,-46.4,-3.3,1,
CHM000504342009,30.8,-47.5,-4.1,1.3,
CHM000504342010,37.9,-46.5,-4.5,0.9,
CHM000504342011,31.6,-47.4,-4.2,1.3,
CHM000504342012,32.6,-46.9,-5,1.2,
CHM000504342013,28.8,-46.1,-4,3.3,6.1
CHM000504342014,32.7,-45.1,-3.3,2.8,
CHM000504342015,32.8,-41.4,-2.4,6.4,6.3
CHM000504342016,27.5,-44.7,-3.9,5.9,8.7
CHM000504342017,30.7,-44.1,-3.5,5.4,14.3
CHM000504342018,34.4,-47.8,-3.5,3.3,11.5
CHM000504342019,28.8,-45.2,-3.4,8.8,8
CHM000504342020,33.4,-43.6,-2.9,2.4,6.9
CHM000504342021,31.1,-46.3,-3.3,6.6,6.8
CHM000504342022,32,-43.2,-3.8,4,11.5
CHM000504342023,31,-49.1,-2.8,7,9.3
CHM000505271951,35.1,-48.5,-2.5,0.6,
CHM000505271952,35.2,-43.6,-3.8,1,
CHM000505271953,30.5,-42.2,-2.9,1.2,
CHM000505271954,29.2,-41.1,-3.2,1.2,
CHM000505271955,36.7,-42.1,-2.3,1.2,
CHM000505271956,32,-42.9,-4.1,0.9,
CHM000505271957,30.8,-42.1,-3.4,1,
CHM000505271958,31.4,-40.8,-1.4,0.9,
CHM000505271959,32.2,-39.4,-0.9,0.8,
CHM000505271960,29.9,-43.3,-2.1,1,
CHM000505271961,34.3,-40.3,0.7,1,
CHM000505571951,34.2,-47.3,-1,2,
CHM000505571952,34.5,-44.6,-2.5,1.6,
CHM000505571953,32.1,-41.7,-1.6,1.4,
CHM000505571954,32.5,-43.4,-1.4,1.1,
CHM000505571955,35.6,-44.5,-0.4,1.3,
CHM000505571956,30.3,-46.3,-2.4,1.4,
CHM000505571957,30,-40.5,-1.2,1.2,
CHM000505571958,35.1,-40.3,-0.1,1.3,
CHM000505571959,32.3,-41.3,1,1.6,
CHM000505571960,30.8,-40.6,-0.9,1.3,
CHM000505571961,35,-43,-0.2,1.7,
CHM000505571962,-7.8,-39.5,-24.3,0,
CHM000505641954,33.5,-38.4,-1.6,1.2,
CHM000505641955,34.7,-42.1,-1.5,1.8,
CHM000505641956,32.4,-44.4,-2.7,1.3,
CHM000505641957,30.7,-39.1,-1.6,1.8,
CHM000505641958,33.6,-38.6,-1.2,1.5,
CHM000505641959,32.8,-41.6,-0.2,1.6,
CHM000505641960,31,-41.3,-2.3,1.8,
CHM000505641961,31.6,-45.2,-1.2,2,
CHM000505641962,31.6,-39.6,-1.1,1.7,
CHM000505641963,31.9,-39.4,-0.5,1.8,
CHM000505641964,32.6,-37.5,-1.7,1,
CHM000505641965,33.4,-43.2,-2.8,1.3,
CHM000505641966,33.2,-47.2,-2.7,1.7,
CHM000505641967,30.5,-43.3,-0.8,2.3,
CHM000506321951,31.8,-28.4,5.3,1.4,
CHM000506321952,33.3,-36.7,-2.3,1.4,
CHM000506321953,31.6,-33.1,-1.1,1.2,
CHM000506321954,28.6,-31,-1.4,1.6,
CHM000506321955,32.6,-32.3,-0.6,1.5,
CHM000506321956,29.4,-34.6,-2.2,1.4,
CHM000506321957,29,-30.8,-1.7,1.3,
CHM000506321958,33.3,-30.1,-0.5,1.4,
CHM000506321959,29.5,-31.8,-0.2,1.4,
CHM000506321960,28.5,-33.3,-1.4,1.7,
CHM000506321961,33.8,-35.2,-0.4,1,
CHM000506321962,31.2,-32.5,-0.6,1.5,
CHM000506321963,32,-34.6,-0.1,1.3,
CHM000506321964,31.7,-30.7,-0.7,1.2,
CHM000506321965,33.8,-35.9,-2,1,
CHM000506321966,33.6,-36.9,-2,1.3,
CHM000506321967,29.9,-33.5,-0.3,0.8,
CHM000506321968,35.6,-31.5,-0.4,1.1,
CHM000506321969,34.7,-37.5,-2.7,1.2,
CHM000506321970,32.7,-35.1,-1.2,1.4,
CHM000506321971,29.7,-33.5,-4.5,0.8,
CHM000506581951,35.9,-42,0.6,1.7,
CHM000506581952,35.4,-40,-0.8,1.4,
CHM000506581953,32.7,-37.6,0,2,
CHM000506581954,32.7,-39.2,0.5,0.8,
CHM000506581955,36.7,-39.2,1.3,1.5,
CHM000506581956,31,-41.6,-0.7,1.2,
CHM000506581957,31.5,-37.8,0.4,2,
CHM000506581958,32.9,-35.8,1.2,1.7,
CHM000506581959,32.1,-38.9,2.2,1.5,
CHM000506581960,31.7,-38.2,0.5,1.3,
CHM000506581961,34.9,-37.7,1.5,1.3,
CHM000506581962,33,-34.3,1.4,1.5,
CHM000506581963,33,-33.6,1.8,1.8,
CHM000506581964,33.1,-34.4,0.8,1,
CHM000506581965,35.9,-36.1,0,1,
CHM000506581966,34,-35.5,0.3,1.7,
CHM000506581967,31.4,-34.6,1.8,1,
CHM000506581968,37.9,-34.4,2,1,
CHM000506581969,34.1,-39.6,-0.6,1.3,
CHM000506581970,33.9,-39.1,0.8,1.1,
CHM000506581971,32,-33.9,1.7,1.1,
CHM000506581972,31.9,-33.8,0.9,1.9,
CHM000506581973,33.3,-34.3,1.4,1.4,
CHM000506581974,34.2,-32.5,1.1,1.4,
CHM000506581975,33,-31.1,3.2,1.2,
CHM000506581976,35.2,-36.4,1.3,0.7,
CHM000506581977,34.4,-37.8,0.8,1.4,
CHM000506581978,35,-33.7,1.4,1.1,
CHM000506581979,33.9,-34.6,3.8,1.3,
CHM000507271952,31,-40.6,-3.2,1.4,
CHM000507271953,31.1,-42.6,-4.2,1.5,
CHM000507271954,29.6,-41.2,-3.5,1.5,
CHM000507271955,31.3,-40.8,-3,1.2,
CHM000507271956,29.1,-41.8,-5,1.2,
CHM000507271957,28.3,-39.7,-4.1,1.4,
CHM000507271958,31.5,-40.9,-2.5,1.8,
CHM000507271959,28.3,-42,-2.1,1.2,
CHM000507271960,28.6,-42.7,-2.9,1.5,
CHM000507271961,30.9,-42.7,-2.3,1.1,
CHM000507271962,31.4,-38.5,-2.8,1.1,
CHM000507271963,29.2,-42.5,-2.6,1.2,
CHM000507271964,31.3,-38.9,-2.9,1.3,
CHM000507271965,31.6,-43.7,-3.9,0.9,
CHM000507271966,30,-45.7,-3.7,1.1,
CHM000507271967,31.6,-43.5,-2.9,1.3,
CHM000507271968,34.1,-42.5,-2.9,1.1,
CHM000507271969,31.2,-43.4,-4.7,1.3,
CHM000507271970,29.1,-44.5,-3.9,1.2,
CHM000507271971,27.4,-42.2,-1.4,1.3,
CHM000507451951,37,-39.5,2.2,1.3,
CHM000507451952,35.3,-35.8,1.6,1.4,
CHM000507451953,34.7,-34.5,2.5,0.9,
CHM000507451954,33.4,-33.3,2.5,0.9,
CHM000507451955,37.5,-31.2,3.6,0.9,
CHM000507451956,33.3,-35.1,1.7,1.4,
CHM000507451957,34,-30.5,2.3,2,
CHM000507451958,34.1,-29.6,3.4,1.1,
CHM000507451959,33.7,-29.9,4.6,1.3,
CHM000507451960,32.2,-31.5,3.3,1.5,
CHM000507451961,36.6,-30.7,4.3,0.8,
CHM000507451962,34.1,-27.8,3.9,1.2,
CHM000507451963,33.6,-31.9,4.1,1.5,
CHM000507451964,35.8,-29.6,3,1.3,
CHM000507451965,37.9,-33.8,1.9,1.1,
CHM000507451966,35.1,-34.2,2.2,1.5,
CHM000507451967,33.3,-33.2,3.9,1.2,
CHM000507451968,39.9,-33.1,3.8,0.8,
CHM000507451969,35.3,-33.4,1.7,1.2,
CHM000507451970,34.3,-35.3,3.1,1.2,
CHM000507451971,32.9,-29.3,3.6,1,
CHM000507451972,33.8,-30.7,2.9,0.9,
CHM000507451973,35,-32.4,3.4,0.9,
CHM000507451974,36.4,-32.6,2.5,1,
CHM000507451975,35.4,-28.6,4.7,0.8,
CHM000507451976,34.6,-34.8,2.8,0.9,
CHM000507451977,35.8,-35.6,2.9,1,
CHM000507451978,35.1,-31.5,3.6,0.9,
CHM000507451979,35.8,-33.1,3.5,0.8,
CHM000507451980,40.1,-36.4,3.1,1.2,
CHM000507451981,33.3,-27.2,3.7,1.6,
CHM000507451982,36.6,-29.3,4.7,1,
CHM000507451983,30.8,-30.9,3.7,1.4,
CHM000507451984,32.7,-32.5,3,1.3,
CHM000507451985,36.6,-33.3,3.2,1.2,
CHM000507451986,32.6,-32.1,3.8,1.3,
CHM000507451987,34.5,-32.9,3,1.3,
CHM000507451988,34.7,-27.9,4.3,1.8,
CHM000507451989,34,-26.8,4.8,1.1,
CHM000507451990,33,-35,4.9,1.2,
CHM000507451991,31.7,-28.4,4.3,1.4,
CHM000507451992,35.7,-27.9,4.1,1,
CHM000507451993,34.1,-27.3,4.5,1.3,
CHM000507451994,35.2,-30.8,4.6,1.3,
CHM000507451995,34,-24.8,5.3,0.9,
CHM000507451996,35.3,-28.8,4.4,1,
CHM000507451997,38.7,-27.7,5.1,0.9,
CHM000507451998,35.3,-29.2,5.4,1.6,
CHM000507451999,34.9,-28,4.4,1.1,
CHM000507452000,37.9,-32.5,4.3,0.9,
CHM000507452001,40.8,-36.7,4.4,0.7,
CHM000507452002,35.2,-28.9,4.5,1,
CHM000507452003,34.9,-31.7,5.2,1.6,
CHM000507452004,36.3,-29.2,4.9,0.8,
CHM000507452005,33.5,-26.9,4,1.3,
CHM000507452006,34.6,-31.8,4,1.3,
CHM000507452007,37.4,-23.9,5.9,1.1,
CHM000507452008,36.2,-29,5.6,1,
CHM000507452009,33.4,-35,3.8,1.4,
CHM000507452010,37.7,-34.4,3.4,1.4,
CHM000507452011,34.9,-34.8,4.3,1.2,
CHM000507452012,33.4,-33.3,3.6,1.5,
CHM000507452013,29.6,-34.1,3.7,3.4,
